epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6358,2.33621,5.23756,2.18347,0.18272,0.24646,0.12303,0.03815,2.1429,7.69726,2.12962,0.00028,0.00028,0.00028
2,22.9752,1.65655,2.46614,1.65347,0.20695,0.33994,0.15609,0.05211,1.96658,5.74683,2.09241,0.000568516,0.000568516,0.000568516
3,33.015,1.5203,2.16795,1.55954,0.05089,0.13598,0.02501,0.0083,2.91137,8.89299,2.75719,0.000845152,0.000845152,0.000845152
4,40.1138,1.55962,2.04295,1.5801,0.11999,0.13314,0.0428,0.01292,3.21976,4.18642,3.12296,0.00110991,0.00110991,0.00110991
5,49.5634,1.47581,1.90522,1.54708,0.0288,0.35694,0.0216,0.00721,2.42009,10.2303,2.68828,0.00136278,0.00136278,0.00136278
6,56.8857,1.55488,1.94111,1.62004,0.06926,0.41076,0.05109,0.01858,2.06151,6.64091,2.73956,0.00160378,0.00160378,0.00160378
7,65.9484,1.53362,1.86299,1.59069,0.00932,0.51275,0.00714,0.00337,2.1735,inf,2.7359,0.0017624,0.0017624,0.0017624
8,73.5188,1.53272,1.88485,1.58571,0.03403,0.48159,0.02744,0.0083,2.49738,12.1217,2.79361,0.0017228,0.0017228,0.0017228
9,82.4081,1.49199,1.85426,1.57879,0.19655,0.55301,0.18631,0.08639,1.85325,4.27958,2.24301,0.0016832,0.0016832,0.0016832
10,90.1501,1.45489,1.83565,1.55444,0.21413,0.41926,0.20561,0.10581,1.54136,5.50074,1.9422,0.0016436,0.0016436,0.0016436
11,99.1918,1.41197,1.78185,1.52761,0.08196,0.64873,0.07705,0.03866,1.52003,5.88132,1.79687,0.001604,0.001604,0.001604
12,106.766,1.40791,1.78318,1.51173,0.22648,0.72238,0.24754,0.12579,1.47944,2.34362,1.65293,0.0015644,0.0015644,0.0015644
13,115.752,1.37108,1.71641,1.46248,0.23497,0.49292,0.22822,0.11156,1.6049,2.10849,1.74745,0.0015248,0.0015248,0.0015248
14,123.447,1.33245,1.67698,1.43477,0.26243,0.5864,0.26985,0.16548,1.41002,2.03901,1.63013,0.0014852,0.0014852,0.0014852
15,132.681,1.30866,1.68557,1.44428,0.23408,0.67139,0.25033,0.14566,1.42231,1.95014,1.59609,0.0014456,0.0014456,0.0014456
16,140.331,1.28681,1.7092,1.43832,0.2435,0.53541,0.2579,0.15108,1.4226,1.93541,1.62477,0.001406,0.001406,0.001406
17,149.44,1.32185,1.68554,1.45306,0.10116,0.69122,0.09608,0.05319,1.46417,2.93276,1.60092,0.0013664,0.0013664,0.0013664
18,157.173,1.21485,1.65081,1.38,0.23399,0.81431,0.27214,0.1579,1.22901,2.07616,1.41882,0.0013268,0.0013268,0.0013268
19,166.337,1.25218,1.64909,1.40051,0.30122,0.75637,0.34037,0.22172,1.23969,1.61841,1.44522,0.0012872,0.0012872,0.0012872
20,174.108,1.21735,1.59153,1.36842,0.29734,0.75921,0.33704,0.22313,1.24175,1.61315,1.44713,0.0012476,0.0012476,0.0012476
21,183.978,1.17384,1.58649,1.35723,0.3289,0.69405,0.37058,0.25387,1.17224,1.58183,1.35795,0.001208,0.001208,0.001208
22,191.783,1.18333,1.56096,1.35198,0.31613,0.69799,0.36782,0.24301,1.17353,1.56588,1.37797,0.0011684,0.0011684,0.0011684
23,201.268,1.17825,1.56901,1.35596,0.32554,0.68555,0.35724,0.25097,1.14906,1.59097,1.37415,0.0011288,0.0011288,0.0011288
24,208.805,1.21137,1.58671,1.36816,0.33945,0.63471,0.37385,0.26464,1.06714,1.5166,1.29874,0.0010892,0.0010892,0.0010892
25,218.296,1.13659,1.57867,1.33233,0.35017,0.62606,0.38373,0.27116,1.06452,1.48904,1.28775,0.0010496,0.0010496,0.0010496
26,225.822,1.03315,1.47168,1.27407,0.34344,0.69405,0.38532,0.2817,1.06634,1.49716,1.32083,0.00101,0.00101,0.00101
27,235.296,1.12571,1.54431,1.3144,0.34497,0.72238,0.40844,0.28628,1.13683,1.52218,1.35699,0.0009704,0.0009704,0.0009704
28,242.656,1.17115,1.56309,1.33966,0.34341,0.68839,0.40925,0.30466,1.03821,1.53773,1.29169,0.0009308,0.0009308,0.0009308
29,252.478,1.08466,1.49479,1.31117,0.33635,0.64589,0.3799,0.26901,1.05057,1.60822,1.28644,0.0008912,0.0008912,0.0008912
30,259.795,1.07024,1.47583,1.27966,0.39025,0.6289,0.42605,0.31604,0.98604,1.41545,1.22589,0.0008516,0.0008516,0.0008516
31,269.497,1.04469,1.47668,1.28194,0.3608,0.62606,0.45447,0.33098,0.94139,1.44602,1.2011,0.000812,0.000812,0.000812
32,277.059,1.0141,1.4526,1.25989,0.37502,0.6119,0.43061,0.32231,0.97484,1.4051,1.20434,0.0007724,0.0007724,0.0007724
33,286.336,1.00305,1.45839,1.25413,0.35286,0.68839,0.43319,0.3407,0.9212,1.38361,1.18336,0.0007328,0.0007328,0.0007328
34,293.733,1.00747,1.4172,1.2489,0.40231,0.61473,0.46263,0.34433,0.9435,1.40756,1.20984,0.0006932,0.0006932,0.0006932
35,303.374,0.99683,1.43683,1.27137,0.41871,0.64023,0.48418,0.35727,0.94565,1.36759,1.2322,0.0006536,0.0006536,0.0006536
36,310.899,0.99232,1.4137,1.25092,0.39393,0.60394,0.47962,0.36114,0.97018,1.38573,1.2339,0.000614,0.000614,0.000614
37,320.462,0.9826,1.38591,1.24983,0.40947,0.59207,0.47144,0.36037,0.92604,1.40428,1.19893,0.0005744,0.0005744,0.0005744
38,327.757,0.95852,1.38752,1.22528,0.45077,0.5779,0.49926,0.37461,0.94585,1.33183,1.17405,0.0005348,0.0005348,0.0005348
39,337.801,0.95708,1.3704,1.22339,0.41438,0.59207,0.48147,0.36139,0.96908,1.38395,1.17893,0.0004952,0.0004952,0.0004952
