epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,345.252,0.95702,1.36654,1.21568,0.40526,0.65156,0.46025,0.3409,0.89955,1.41941,1.1647,0.0004556,0.0004556,0.0004556
41,357.141,0.92264,1.41572,1.25593,0.40233,0.6204,0.50712,0.38146,0.93926,1.32658,1.17182,0.000416,0.000416,0.000416
42,364.688,0.89073,1.36249,1.21967,0.40749,0.64306,0.47168,0.37846,0.88235,1.35764,1.12507,0.0003764,0.0003764,0.0003764
43,374.797,0.85853,1.31536,1.19025,0.40357,0.65722,0.50748,0.40729,0.84127,1.33769,1.09602,0.0003368,0.0003368,0.0003368
44,382.213,0.81508,1.29674,1.16759,0.42943,0.69122,0.53969,0.43725,0.7972,1.26817,1.07352,0.0002972,0.0002972,0.0002972
45,391.796,0.78362,1.23972,1.14666,0.45953,0.66572,0.55701,0.45875,0.76428,1.21082,1.06113,0.0002576,0.0002576,0.0002576
46,399.568,0.80958,1.20999,1.15659,0.48645,0.65156,0.5886,0.48628,0.76163,1.1818,1.06213,0.000218,0.000218,0.000218
47,409.15,0.78531,1.18065,1.13906,0.50771,0.67422,0.60595,0.50189,0.76079,1.16804,1.05864,0.0001784,0.0001784,0.0001784
48,417.065,0.78204,1.21618,1.15451,0.49795,0.73371,0.59627,0.49713,0.75385,1.17806,1.05795,0.0001388,0.0001388,0.0001388
49,426.356,0.78738,1.19803,1.15415,0.48877,0.73938,0.59812,0.50334,0.74111,1.16791,1.05663,9.92e-05,9.92e-05,9.92e-05
50,434.71,0.76267,1.21069,1.14299,0.47781,0.76208,0.61063,0.51571,0.73434,1.15685,1.0516,5.96e-05,5.96e-05,5.96e-05
